pair_id	region	ancestry	trait_a	trait_b	imputed_h4	confidence	prob_signal	base_from_pair	region_bonus	ancestry_factor
chr11_110750000_123250000__EUR__t2d_vs_asthma	11:110750000-123250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr22_27750000_33250000__EUR__t2d_vs_asthma	22:27750000-33250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr4_72750000_75250000__EUR__t2d_vs_asthma	4:72750000-75250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr9_3750000_7250000__EUR__t2d_vs_asthma	9:3750000-7250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr10_79750000_83250000__EUR__t2d_vs_asthma	10:79750000-83250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr5_58750000_65250000__EUR__t2d_vs_asthma	5:58750000-65250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr2_7750000_10250000__EUR__t2d_vs_asthma	2:7750000-10250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr12_119750000_125250000__EUR__t2d_vs_asthma	12:119750000-125250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr2_190750000_193250000__EUR__t2d_vs_asthma	2:190750000-193250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr2_51750000_54250000__EUR__t2d_vs_asthma	2:51750000-54250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr20_14750000_18250000__EUR__t2d_vs_asthma	20:14750000-18250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr18_5750000_8250000__EUR__t2d_vs_asthma	18:5750000-8250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr20_46750000_52250000__EUR__t2d_vs_asthma	20:46750000-52250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr10_29750000_35250000__EUR__t2d_vs_asthma	10:29750000-35250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr4_90750000_92250000__EUR__t2d_vs_asthma	4:90750000-92250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr12_32750000_34250000__EUR__t2d_vs_asthma	12:32750000-34250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr2_154750000_160250000__EUR__t2d_vs_asthma	2:154750000-160250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr8_88750000_91250000__EUR__t2d_vs_asthma	8:88750000-91250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr1_188750000_192250000__EUR__t2d_vs_asthma	1:188750000-192250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr15_50750000_54250000__EUR__t2d_vs_asthma	15:50750000-54250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr15_97750000_101250000__EUR__t2d_vs_asthma	15:97750000-101250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr11_53750000_59250000__EUR__t2d_vs_asthma	11:53750000-59250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr4_76750000_78250000__EUR__t2d_vs_asthma	4:76750000-78250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr6_750000_2250000__EUR__t2d_vs_asthma	6:750000-2250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr16_80750000_84250000__EUR__t2d_vs_asthma	16:80750000-84250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr1_224750000_226250000__EUR__t2d_vs_asthma	1:224750000-226250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr10_132750000_135250000__EUR__t2d_vs_asthma	10:132750000-135250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr9_123750000_132250000__EUR__t2d_vs_asthma	9:123750000-132250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr1_750000_4250000__EUR__t2d_vs_asthma	1:750000-4250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr13_29750000_34250000__EUR__t2d_vs_asthma	13:29750000-34250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr7_43750000_47250000__EUR__t2d_vs_asthma	7:43750000-47250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr10_130750000_132250000__EUR__t2d_vs_asthma	10:130750000-132250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr7_154750000_158250000__EUR__t2d_vs_asthma	7:154750000-158250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr7_105750000_108250000__EUR__t2d_vs_asthma	7:105750000-108250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr5_169750000_171250000__EUR__t2d_vs_asthma	5:169750000-171250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr8_115750000_119250000__EUR__t2d_vs_asthma	8:115750000-119250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr2_99750000_103250000__EUR__t2d_vs_asthma	2:99750000-103250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr7_67750000_81250000__EUR__t2d_vs_asthma	7:67750000-81250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr17_54750000_58250000__EUR__t2d_vs_asthma	17:54750000-58250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr18_9750000_11250000__EUR__t2d_vs_asthma	18:9750000-11250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr10_74750000_79250000__EUR__t2d_vs_asthma	10:74750000-79250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr19_15750000_20250000__EUR__t2d_vs_asthma	19:15750000-20250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr2_70750000_74250000__EUR__t2d_vs_asthma	2:70750000-74250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr2_170750000_176250000__EUR__t2d_vs_asthma	2:170750000-176250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr17_37750000_50250000__EUR__t2d_vs_asthma	17:37750000-50250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr8_750000_2250000__EUR__t2d_vs_asthma	8:750000-2250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr8_104750000_107250000__EUR__t2d_vs_asthma	8:104750000-107250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr5_41750000_44250000__EUR__t2d_vs_asthma	5:41750000-44250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr3_110750000_120250000__EUR__t2d_vs_asthma	3:110750000-120250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr2_80750000_82250000__EUR__t2d_vs_asthma	2:80750000-82250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr12_11750000_13250000__EUR__t2d_vs_asthma	12:11750000-13250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr13_49750000_52250000__EUR__t2d_vs_asthma	13:49750000-52250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr1_149750000_157250000__EUR__t2d_vs_asthma	1:149750000-157250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr16_8750000_13250000__EUR__t2d_vs_asthma	16:8750000-13250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr3_76750000_79250000__EUR__t2d_vs_asthma	3:76750000-79250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr18_30750000_32250000__EUR__t2d_vs_asthma	18:30750000-32250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr3_160750000_162250000__EUR__t2d_vs_asthma	3:160750000-162250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr10_110750000_112250000__EUR__t2d_vs_asthma	10:110750000-112250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr8_16750000_18250000__EUR__t2d_vs_asthma	8:16750000-18250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr10_90750000_101250000__EUR__t2d_vs_asthma	10:90750000-101250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr10_44750000_46250000__EUR__t2d_vs_asthma	10:44750000-46250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr4_121750000_123250000__EUR__t2d_vs_asthma	4:121750000-123250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr2_39750000_49250000__EUR__t2d_vs_asthma	2:39750000-49250000	EUR	t2d	asthma	0.0189	high	0.001	0.0189	0.0000	1.0000
chr2_39750000_49250000__EUR__bmi_vs_stroke	2:39750000-49250000	EUR	bmi	stroke	0.0167	high	0.004	0.0167	0.0000	1.0000
chr9_0_3250000__EUR__bmi_vs_stroke	9:0-3250000	EUR	bmi	stroke	0.0167	high	0.004	0.0167	0.0000	1.0000
chr15_34750000_37250000__EUR__bmi_vs_stroke	15:34750000-37250000	EUR	bmi	stroke	0.0167	high	0.004	0.0167	0.0000	1.0000
chr15_45750000_50250000__EUR__bmi_vs_stroke	15:45750000-50250000	EUR	bmi	stroke	0.0167	high	0.004	0.0167	0.0000	1.0000
chr2_34750000_38250000__EUR__stroke_vs_asthma	2:34750000-38250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr18_71750000_74250000__EUR__stroke_vs_asthma	18:71750000-74250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr11_110750000_123250000__EUR__stroke_vs_asthma	11:110750000-123250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr9_32750000_38250000__EUR__stroke_vs_asthma	9:32750000-38250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr8_88750000_91250000__EUR__stroke_vs_asthma	8:88750000-91250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr17_26750000_33250000__EUR__stroke_vs_asthma	17:26750000-33250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr2_39750000_49250000__EUR__stroke_vs_asthma	2:39750000-49250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr2_70750000_74250000__EUR__stroke_vs_asthma	2:70750000-74250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr9_0_3250000__EUR__stroke_vs_asthma	9:0-3250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr9_7750000_12250000__EUR__stroke_vs_asthma	9:7750000-12250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr5_58750000_65250000__EUR__stroke_vs_asthma	5:58750000-65250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr7_154750000_158250000__EUR__stroke_vs_asthma	7:154750000-158250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr7_43750000_47250000__EUR__stroke_vs_asthma	7:43750000-47250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr9_12750000_17250000__EUR__stroke_vs_asthma	9:12750000-17250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr16_22750000_25250000__EUR__stroke_vs_asthma	16:22750000-25250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr18_5750000_8250000__EUR__stroke_vs_asthma	18:5750000-8250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr12_119750000_125250000__EUR__stroke_vs_asthma	12:119750000-125250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr7_12750000_23250000__EUR__stroke_vs_asthma	7:12750000-23250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr11_53750000_59250000__EUR__stroke_vs_asthma	11:53750000-59250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr1_178750000_181250000__EUR__stroke_vs_asthma	1:178750000-181250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr8_13750000_16250000__EUR__stroke_vs_asthma	8:13750000-16250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr13_29750000_34250000__EUR__stroke_vs_asthma	13:29750000-34250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr17_37750000_50250000__EUR__stroke_vs_asthma	17:37750000-50250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr8_3750000_5250000__EUR__stroke_vs_asthma	8:3750000-5250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr8_104750000_107250000__EUR__stroke_vs_asthma	8:104750000-107250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr1_188750000_192250000__EUR__stroke_vs_asthma	1:188750000-192250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr6_159750000_165250000__EUR__stroke_vs_asthma	6:159750000-165250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr11_129750000_135250000__EUR__stroke_vs_asthma	11:129750000-135250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr16_0_1250000__EUR__stroke_vs_asthma	16:0-1250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr3_178750000_190250000__EUR__stroke_vs_asthma	3:178750000-190250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr6_103750000_105250000__EUR__stroke_vs_asthma	6:103750000-105250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr1_226750000_231250000__EUR__stroke_vs_asthma	1:226750000-231250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr13_49750000_52250000__EUR__stroke_vs_asthma	13:49750000-52250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr22_27750000_33250000__EUR__stroke_vs_asthma	22:27750000-33250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr9_3750000_7250000__EUR__stroke_vs_asthma	9:3750000-7250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr3_31750000_34250000__EUR__stroke_vs_asthma	3:31750000-34250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr10_29750000_35250000__EUR__stroke_vs_asthma	10:29750000-35250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr14_61750000_64250000__EUR__stroke_vs_asthma	14:61750000-64250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr13_24750000_29250000__EUR__stroke_vs_asthma	13:24750000-29250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr10_90750000_101250000__EUR__stroke_vs_asthma	10:90750000-101250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr3_155750000_159250000__EUR__stroke_vs_asthma	3:155750000-159250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr3_192750000_198250000__EUR__stroke_vs_asthma	3:192750000-198250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr19_15750000_20250000__EUR__stroke_vs_asthma	19:15750000-20250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr19_750000_2250000__EUR__stroke_vs_asthma	19:750000-2250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr3_175750000_178250000__EUR__stroke_vs_asthma	3:175750000-178250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr16_26750000_32250000__EUR__stroke_vs_asthma	16:26750000-32250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr10_132750000_135250000__EUR__stroke_vs_asthma	10:132750000-135250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr10_20750000_24250000__EUR__stroke_vs_asthma	10:20750000-24250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr10_11750000_14250000__EUR__stroke_vs_asthma	10:11750000-14250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr8_750000_2250000__EUR__stroke_vs_asthma	8:750000-2250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr5_104750000_109250000__EUR__stroke_vs_asthma	5:104750000-109250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr10_5750000_7250000__EUR__stroke_vs_asthma	10:5750000-7250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr7_67750000_81250000__EUR__stroke_vs_asthma	7:67750000-81250000	EUR	stroke	asthma	0.0082	high	0.000	0.0082	0.0000	1.0000
chr16_13750000_16250000__AFR__t2d_vs_asthma	16:13750000-16250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr8_86750000_88250000__AFR__t2d_vs_asthma	8:86750000-88250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr2_34750000_38250000__AFR__t2d_vs_asthma	2:34750000-38250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr6_140750000_145250000__AFR__t2d_vs_asthma	6:140750000-145250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr8_61750000_63250000__AFR__t2d_vs_asthma	8:61750000-63250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr2_5750000_7250000__AFR__t2d_vs_asthma	2:5750000-7250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr8_29750000_31250000__AFR__t2d_vs_asthma	8:29750000-31250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr20_23750000_26250000__AFR__t2d_vs_asthma	20:23750000-26250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr1_182750000_185250000__AFR__t2d_vs_asthma	1:182750000-185250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr6_149750000_158250000__AFR__t2d_vs_asthma	6:149750000-158250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr17_54750000_58250000__AFR__t2d_vs_asthma	17:54750000-58250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr3_36750000_39250000__AFR__t2d_vs_asthma	3:36750000-39250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr6_107750000_110250000__AFR__t2d_vs_asthma	6:107750000-110250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr14_61750000_64250000__AFR__t2d_vs_asthma	14:61750000-64250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr16_80750000_84250000__AFR__t2d_vs_asthma	16:80750000-84250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr3_73750000_75250000__AFR__t2d_vs_asthma	3:73750000-75250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr7_97750000_101250000__AFR__t2d_vs_asthma	7:97750000-101250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr7_12750000_23250000__AFR__t2d_vs_asthma	7:12750000-23250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr8_50750000_52250000__AFR__t2d_vs_asthma	8:50750000-52250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr9_123750000_132250000__AFR__t2d_vs_asthma	9:123750000-132250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr14_90750000_95250000__AFR__t2d_vs_asthma	14:90750000-95250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr1_71750000_76250000__AFR__t2d_vs_asthma	1:71750000-76250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr9_93750000_95250000__AFR__t2d_vs_asthma	9:93750000-95250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr19_43750000_48250000__AFR__t2d_vs_asthma	19:43750000-48250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr5_16750000_18250000__AFR__t2d_vs_asthma	5:16750000-18250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr17_74750000_82250000__AFR__t2d_vs_asthma	17:74750000-82250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr20_46750000_52250000__AFR__t2d_vs_asthma	20:46750000-52250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr6_750000_2250000__AFR__t2d_vs_asthma	6:750000-2250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr9_0_3250000__AFR__t2d_vs_asthma	9:0-3250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr15_39750000_45250000__AFR__t2d_vs_asthma	15:39750000-45250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr22_49750000_51250000__AFR__t2d_vs_asthma	22:49750000-51250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr3_178750000_190250000__AFR__t2d_vs_asthma	3:178750000-190250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr11_53750000_59250000__AFR__t2d_vs_asthma	11:53750000-59250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr2_141750000_150250000__AFR__t2d_vs_asthma	2:141750000-150250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr7_67750000_81250000__AFR__t2d_vs_asthma	7:67750000-81250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr8_3750000_5250000__AFR__t2d_vs_asthma	8:3750000-5250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr18_71750000_74250000__AFR__t2d_vs_asthma	18:71750000-74250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr14_66750000_71250000__AFR__t2d_vs_asthma	14:66750000-71250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr1_188750000_192250000__AFR__t2d_vs_asthma	1:188750000-192250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr10_117750000_119250000__AFR__t2d_vs_asthma	10:117750000-119250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr6_125750000_132250000__AFR__t2d_vs_asthma	6:125750000-132250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr13_84750000_87250000__AFR__t2d_vs_asthma	13:84750000-87250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr11_110750000_123250000__AFR__t2d_vs_asthma	11:110750000-123250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr10_15750000_20250000__AFR__t2d_vs_asthma	10:15750000-20250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr16_88750000_91250000__AFR__t2d_vs_asthma	16:88750000-91250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr1_36750000_53250000__AFR__t2d_vs_asthma	1:36750000-53250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr16_18750000_22250000__AFR__t2d_vs_asthma	16:18750000-22250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr2_199750000_201250000__AFR__t2d_vs_asthma	2:199750000-201250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr7_133750000_135250000__AFR__t2d_vs_asthma	7:133750000-135250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr14_28750000_32250000__AFR__t2d_vs_asthma	14:28750000-32250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr6_81750000_84250000__AFR__t2d_vs_asthma	6:81750000-84250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr19_50750000_52250000__AFR__t2d_vs_asthma	19:50750000-52250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr16_8750000_13250000__AFR__t2d_vs_asthma	16:8750000-13250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr5_48750000_54250000__AFR__t2d_vs_asthma	5:48750000-54250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr15_84750000_87250000__AFR__t2d_vs_asthma	15:84750000-87250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr4_79750000_82250000__AFR__t2d_vs_asthma	4:79750000-82250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr2_18750000_21250000__AFR__t2d_vs_asthma	2:18750000-21250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr13_29750000_34250000__AFR__t2d_vs_asthma	13:29750000-34250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr3_76750000_79250000__AFR__t2d_vs_asthma	3:76750000-79250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr3_79750000_91250000__AFR__t2d_vs_asthma	3:79750000-91250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr6_14750000_16250000__AFR__t2d_vs_asthma	6:14750000-16250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr12_65750000_72250000__AFR__t2d_vs_asthma	12:65750000-72250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr17_11750000_13250000__AFR__t2d_vs_asthma	17:11750000-13250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr17_26750000_33250000__AFR__t2d_vs_asthma	17:26750000-33250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr3_151750000_155250000__AFR__t2d_vs_asthma	3:151750000-155250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr1_14750000_18250000__AFR__t2d_vs_asthma	1:14750000-18250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
